a,b,alpha,beta
-12.13080737105662,5.3368863119403525,-14.705987581283189,0.08943403649530896
3.7900014109489053,4.765980676767394,-14.841094995739702,0.09036313104152409
-32.21624349760638,6.312656963632956,-12.676667141856406,0.07352081626645934
-62.736129840305225,7.671705819438787,-12.704304757280946,0.07347031990257913
-32.5362742302923,6.333608203243886,-12.945175632077792,0.07570143571934823
-26.086825508249742,6.166289860801758,-13.424772891361107,0.07937574944313484
-39.46638192559214,6.790286134597277,-14.494608811660278,0.08718563980932278
-42.82940429502761,6.491896264802248,-13.550927182744015,0.08087719888518018
-20.46774110140203,5.893373752729511,-13.001484472029698,0.07619766047187876
-28.113938910189354,5.990235593977766,-13.000377684940014,0.07541396119915382
-13.307147098395815,5.967809283539869,-14.32400814254799,0.08564077246097994
-41.08946330549791,6.528703509795405,-13.959959316522855,0.08359982002824602
-39.841139706169905,6.438382857640682,-14.026401755253612,0.08373554111788847
-31.369235696248527,6.2074271317245815,-13.239188830553367,0.07769163450013862
-73.97281154231804,8.005621253934898,-13.043711875948398,0.07635589924486971
-88.99647379132229,8.650664136546558,-14.756424321735713,0.08952854425719291
-74.14422009774843,7.934967846452907,-14.477140099466029,0.08731435638496472
-59.388582659487085,7.430369085790138,-13.930731111705335,0.08301895574436234
-52.97072151269623,7.140083049931423,-13.373944732419881,0.07852513295909255
-40.341972327207465,6.5956578779448,-13.658951296067348,0.08123221162206488
-46.5147186956215,6.8827454828790895,-15.158493900210985,0.09218174017188181
-11.096071805760289,5.37697571194531,-14.650009752921534,0.08893754925568459
-17.55421812657831,5.534518502818354,-14.289663459740515,0.08618702221387382
8.59054638685338,4.294887881750978,-13.141444179802997,0.07726201146827968
-54.92624902550234,7.3591496798519564,-14.617180125329002,0.08853126477596178
-23.699880811670504,5.830256337412976,-13.53544842943665,0.08014707301540748
-18.418953401822453,5.589318816258287,-13.49722728301608,0.07964615672821097
-6.988884649645513,5.003740488716076,-13.280022099643347,0.07809541877940576
-47.38728995261388,7.046405239512747,-13.80747977397533,0.08198779076238345
-49.260066938992175,7.063174499826986,-13.686351979086108,0.08104372533791966
-32.524903730998176,6.0476649466300705,-14.472776836369679,0.087219027827419
-29.77731265790305,6.5414072475315015,-14.558480535863021,0.08786097612439227
4.578921213502321,4.5206684389748935,-13.464769591920806,0.07935271027188934
13.782570463748494,4.485447934807472,-13.941619954541107,0.08326665788547498
-64.71498412948246,8.181355626406038,-14.521106664371413,0.08782649575188815
-67.14767838593035,8.363483987447113,-14.012461884107829,0.08378624094218809
-28.618476191920468,6.221761771947015,-15.029162206008971,0.09172598681814723
-29.699487383358203,6.379701236873624,-12.52706440869943,0.07209882769144292
-47.406573917822826,7.1862610177470625,-12.394554135123878,0.07161776058326091
-17.11052273927216,5.980580351835703,-12.403068201357833,0.07075764411190848
-9.914833310999592,5.6115932184698,-12.874163732553615,0.07532810166173122
-19.048069819421777,5.557827917911926,-14.642158962557062,0.08805057391236715
-23.20627268584084,6.037073192383903,-12.307118001051544,0.07137111381915717
-41.52444131001446,6.56966727817192,-13.187652388357558,0.07705705492674962
-26.952748985902648,6.16382268534214,-11.654941304625567,0.06535978206415753
