task_family,n_points,best_aic,best_bic,sigmoid_r2,sigmoid_aic,sigmoid_bic,exponential_r2,exponential_aic,exponential_bic,power_law_r2,power_law_aic,power_law_bic,linear_r2,linear_aic,linear_bic,quadratic_r2,quadratic_aic,quadratic_bic,logarithmic_r2,logarithmic_aic,logarithmic_bic
continue_pattern,14,quadratic,linear,0.6790814096826785,-84.78114860165276,-82.22491928319172,0.6791720493270392,-86.78510329388227,-84.86793130503649,0.6796894124183037,-86.80769773928732,-84.89052575044154,0.6188417308884022,-86.37276759002488,-85.09465293079437,0.6822094584448257,-86.9182784174425,-85.00110642859671,0.5808615666371235,-85.0429557236989,-83.76484106446838
credit_card_validity,14,sigmoid,sigmoid,0.6669273526038975,-40.95424863244522,-38.398019313984186,0.5302873755546217,-38.14160241904635,-36.22443043020058,0.35566070608176814,-33.71614122608149,-31.798969237235717,0.21181849170208444,-32.8950997505591,-31.61698509132858,0.4410435980760333,-35.70629672408001,-33.78912473523424,0.1773162913829972,-32.295292040964,-31.017177381733482
cuda_backtesting,14,linear,linear,,inf,inf,0.14179491541470257,-127.99721343902573,-126.08004145017995,0.13096473096784877,-127.82164485757701,-125.90447286873123,0.09440731416011272,-129.24476196894548,-127.96664730971497,0.14332573366902945,-128.02220815511666,-126.10503616627088,0.08307015021267561,-129.07058322550088,-127.79246856627037
data_deduplication,14,logarithmic,logarithmic,0.0,-778.7554633861536,-776.1992340676925,0.0,-774.1861283042142,-772.2689563153684,0.0,-864.776449159125,-862.8592771702793,0.0,-1070.0048757896159,-1068.7267611303853,0.0,-852.1801601689599,-850.2629881801141,0.0,-1135.657547247064,-1134.3794325878334
debug_small_libs,14,exponential,exponential,0.8164243262011046,-45.42193388906908,-42.865704570608045,0.8203257023067112,-47.72267095750394,-45.80549896865816,0.7944905568733064,-45.84182373400655,-43.92465174516078,0.6601239478182168,-40.7985775393637,-39.52046288013318,0.7950160881028723,-45.87767055658504,-43.960498567739265,0.6081159636945385,-38.805187937863685,-37.52707327863317
env_scientist,14,exponential,exponential,0.8659845706739879,-66.524928856982,-63.968699538520966,0.8646430877233552,-68.38548680099184,-66.46831481214606,0.8145228404407711,-63.975253546949986,-62.05808155810421,0.6397233709259238,-56.680087876108175,-55.40197321687766,0.8395073227459056,-66.00082154541194,-64.08364955656616,0.5782364654409663,-54.47407060990597,-53.195955950675454
esolang,14,exponential,exponential,0.5612197540645449,-36.04156611022685,-33.48533679176582,0.5685656317285418,-38.277932469756166,-36.36076048091039,0.5188431941219759,-36.750843002192795,-34.83367101334702,0.40888751363720455,-35.86945939464889,-34.591344735418375,0.527661998194078,-37.00982034879897,-35.092648359953195,0.3712764990005323,-35.00586598638039,-33.727751327149875
file_recovery,14,sigmoid,sigmoid,0.7151392271018754,-44.68427564819259,-42.12804632973155,0.6463320812274769,-43.655265810679666,-41.73809382183389,0.39021358029988096,-36.02876057576683,-34.11158858692106,0.2238698003984273,-34.651799227403004,-33.373684568172486,0.4958543593586149,-38.69217053285638,-36.77499854401061,0.18567008686676167,-33.9791651186865,-32.701050459455985
gaia,14,sigmoid,sigmoid,0.5794170575777966,-76.17712622650784,-73.6208969080468,0.2528483183525073,-70.13235506085385,-68.21518307200807,0.23026892693220602,-69.71553335270838,-67.7983613638626,0.1579327154479484,-70.45807122571878,-69.17995656648827,0.26417697329560796,-70.34625520838082,-68.42908321953504,0.13655762368728142,-70.10712984870847,-68.82901518947796
gsm_8k,12,linear,linear,0.0,-649.9902492565831,-648.0506226574311,0.0,-768.583479717582,-767.1287597682181,0.0,-750.8186579822031,-749.3639380328392,0.0,-943.9111133536832,-942.9413000541072,0.0,-758.1207786774189,-756.666058728055,0.0,-497.2472750527818,-496.2774617532058
