task_family,n_runs,n_models,avg_score,sigmoid_L,sigmoid_x0_days,sigmoid_k,sigmoid_b,sigmoid_max,r_squared,n_points
auto_days_since,116,14,0.7413793103448276,1.010326162724827,1356.1031336248527,0.007436006658109614,-0.0029976177591236595,1.0073285449657035,0.9966770901438267,14
credit_card_validity,115,14,0.1826086956521739,0.5312557469332884,1944.1934989274248,0.31462461481420045,-5.7226229364066955e-06,0.531250024310352,0.6963190139847615,14
audio_classification,111,14,0.2371977240441441,1.0397352532043982,2035.8044447809743,0.014573880523314197,-0.001661556571988416,1.0380736966324098,0.9060015155170338,14
file_recovery,109,14,0.18255045871559636,0.7486665474374905,2035.1946411347913,0.01607539567095732,-0.003887614168941043,0.7447789332685495,0.7151392271826633,14
data_deduplication,107,14,0.0,1e-10,1489.0,0.01,0.0,1e-10,0.0,14
gaia,104,14,0.04807692307692308,9.024479416409661e-10,358.3471406838233,-0.7674643121862362,0.04464111721762255,0.044641118120070496,-1.509150582279517e-09,14
search_server,102,14,0.7156862745098039,0.8373783335977137,1204.2338916246651,0.01996003570456789,4.301585095450428e-06,0.8373826351828092,0.6284821157775313,14
oxdna_simple,100,14,0.55,0.647186293090567,1227.929178503173,0.09672182060701966,-1.4592660593783846e-07,0.6471861471639611,0.5745005569195374,14
ai_rd_optimize_llm_foundry,97,14,0.5354017072329897,0.5491465193921293,352.02979489477684,0.02256061288872832,-0.00019321906782777417,0.5489533003243016,0.8539260434196991,14
ai_rd_restricted_mlm,96,13,0.06747404180208333,1.998617428526927,3874.14913464465,0.0013718723418127492,-0.04943018054327405,1.949187247983653,0.16135560709437824,13
ai_rd_nanogpt_chat_rl,96,13,0.06575320512604167,0.04379539352000801,2557.907362116918,0.40878377526737386,0.0621228984668956,0.10591829198690361,0.0,13
ai_rd_rust_codecontests_inference,94,13,0.12134771529255318,1.9999999999517464,2292.0641630545283,0.009361302437120888,-0.010654097079577457,1.989345902872169,0.6488770678777294,13
ai_rd_fix_embedding,92,13,0.021024833906521746,4.720136684786667e-10,940.4643731874226,-0.4038134186918293,0.018600933408594915,0.018600933880608583,-2.9687636793340744e-09,13
ai_rd_small_scaling_law,91,13,0.18636808961868134,0.31421288562441524,1972.6129931145017,0.02749369587531919,0.05730853064594531,0.37152141627036056,0.5619078834535733,13
tree_traversal_kernel,90,14,0.0,1e-10,1489.0,0.01,0.0,1e-10,0.0,14
smart_contract_exploit,88,12,0.020904090732954544,0.058190383941504296,931.85292232688,0.8493601876692694,0.004614487179040053,0.06280487112054435,0.8588238597563169,12
acdc_bug,88,12,0.03409090909090909,1.9999999998674227,2012.194805047622,0.003326595906120062,-0.005398062172434332,1.9946019376949884,0.09749091079426353,12
sadservers,88,12,0.5340909090909091,1.9999999999999998,1156.7386641848593,0.0032169022718160907,0.03404579239876746,2.0340457923987674,0.4603605654442635,12
multiarmed_bandit,88,11,0.27522383422840907,0.5779466421055105,588.4232982248093,0.05089459690589825,0.14334212736544352,0.721288769470954,0.8220548718741901,11
ai_rd_triton_cumsum,88,13,0.05272966472613636,2.2643453204900633e-12,617.1887102685635,-0.6089431116619055,0.04502231201934647,0.04502231202161082,-1.0516054693709975e-09,13
hack_container,86,12,0.0,1e-10,681.0,0.01,0.0,1e-10,0.0,12
gsm_8k,81,12,0.0,1e-10,681.0,0.01,0.0,1e-10,0.0,12
